Conn_param,Cost,ID1,ID2,Length,geometry
0.0,3360384.0896056597,15876.0,15884.0,336.03840896056596,"LINESTRING (1101104.936220113 309425.2355168243, 1101418.065313471 309543.5628180212)"
1.0,3491922.602046093,15884.0,19376.0,349.1922602046093,"LINESTRING (1101418.065313471 309543.5628180212, 1101658.515695919 309776.0808697547)"
2.0,5489180.93344142,19376.0,15904.0,548.918093344142,"LINESTRING (1101658.515695919 309776.0808697547, 1102095.76232163 310062.9932714268)"
3.0,1976085.08365295,15904.0,15908.0,197.60850836529502,"LINESTRING (1102095.76232163 310062.9932714268, 1102283.64064906 310123.7938317172)"
4.0,4548155.88911377,15908.0,15918.0,454.815588911377,"LINESTRING (1102283.64064906 310123.7938317172, 1102707.52965434 310285.1159878676)"
5.0,2304688.29194744,15918.0,15923.0,230.468829194744,"LINESTRING (1102707.52965434 310285.1159878676, 1102920.862925982 310372.1411197593)"
6.0,690945.80674428,15923.0,15925.0,69.094580674428,"LINESTRING (1102920.862925982 310372.1411197593, 1102989.160106703 310381.6705186052)"
7.0,5081199.556321007,15925.0,19624.0,508.1199556321007,"LINESTRING (1102989.160106703 310381.6705186052, 1103114.136175775 310599.2409850461)"
8.0,293389.10923528794,15876.0,19202.0,29.338910923528793,"LINESTRING (1101104.936220113 309425.2355168243, 1101128.429602723 309407.6618812373)"
9.0,5014994.726589486,15876.0,19201.0,501.49947265894855,"LINESTRING (1101104.936220113 309425.2355168243, 1100633.292680199 309398.1453280671)"
10.0,3308092.2319726218,19201.0,19322.0,330.8092231972622,"LINESTRING (1100633.292680199 309398.1453280671, 1100442.347200249 309648.0960100344)"
11.0,6220828.927032086,19322.0,19365.0,622.0828927032087,"LINESTRING (1100442.347200249 309648.0960100344, 1100019.286874324 309755.0960916761)"
12.0,742870.2586526552,15884.0,19257.0,74.28702586526552,"LINESTRING (1101418.065313471 309543.5628180212, 1101489.338025109 309522.7808786841)"
13.0,3728764.418534932,19257.0,19258.0,372.87644185349313,"LINESTRING (1101489.338025109 309522.7808786841, 1101739.663996426 309531.3332020022)"
14.0,4260179.070248723,19258.0,19180.0,426.01790702487233,"LINESTRING (1101739.663996426 309531.3332020022, 1101983.052960742 309350.7821982359)"
15.0,984192.8190744396,19180.0,19198.0,98.41928190744395,"LINESTRING (1101983.052960742 309350.7821982359, 1102041.064440308 309400.0690958314)"
16.0,3311746.481256118,19469.0,19491.0,331.17464812561184,"LINESTRING (1102362.435536095 310024.0517344106, 1102167.511743584 310055.0739190186)"
17.0,864971.1957665576,19491.0,15904.0,86.49711957665575,"LINESTRING (1102167.511743584 310055.0739190186, 1102095.76232163 310062.9932714268)"
18.0,1133488.2302745027,19201.0,19228.0,113.34882302745027,"LINESTRING (1100633.292680199 309398.1453280671, 1100725.509897149 309450.2363326825)"
19.0,5596284.364744535,19332.0,19375.0,559.6284364744535,"LINESTRING (1103974.107002329 309687.7125753495, 1103524.628001794 309788.2886028762)"
20.0,4591549.115085485,19375.0,19503.0,459.15491150854854,"LINESTRING (1103524.628001794 309788.2886028762, 1103705.255331821 310095.0234329142)"
21.0,2738401.770331799,16645.0,16837.0,273.84017703317994,"LINESTRING (1103233.410852307 312387.5188838473, 1102984.777422124 312320.191511764)"
22.0,2418771.7876212457,16837.0,20066.0,241.87717876212457,"LINESTRING (1102984.777422124 312320.191511764, 1102911.969241278 312510.5868846297)"
23.0,2874239.11541991,16645.0,15577.0,287.423911541991,"LINESTRING (1103233.410852307 312387.5188838473, 1103454.369946495 312523.8848862525)"
24.0,4077612.17565485,15577.0,19022.0,407.7612175654849,"LINESTRING (1103454.369946495 312523.8848862525, 1103495.905130481 312849.8469419308)"
25.0,3312803.93366285,19022.0,18085.0,331.28039336628495,"LINESTRING (1103495.905130481 312849.8469419308, 1103184.796505825 312961.6469319587)"
26.0,2226686.9397495603,18085.0,20309.0,222.668693974956,"LINESTRING (1103184.796505825 312961.6469319587, 1103149.643892821 313144.2546542116)"
27.0,351431.35697329993,16775.0,16776.0,35.143135697329996,"LINESTRING (1102888.48232466 310978.9437750315, 1102860.972436441 311000.64006079)"
28.0,4183495.5967753297,16775.0,19706.0,418.3495596775329,"LINESTRING (1102888.48232466 310978.9437750315, 1103189.25904821 311182.5915036561)"
29.0,6992242.370436973,19706.0,16579.0,699.2242370436971,"LINESTRING (1103189.25904821 311182.5915036561, 1103745.034369813 311156.8758780871)"
30.0,1580551.8994296119,16579.0,19673.0,158.0551899429612,"LINESTRING (1103745.034369813 311156.8758780871, 1103838.029832501 311081.0226097652)"
31.0,6483178.16625161,16775.0,15925.0,648.317816625161,"LINESTRING (1102888.48232466 310978.9437750315, 1102989.160106703 310381.6705186052)"
32.0,1441177.5107748655,19341.0,19375.0,144.11775107748656,"LINESTRING (1103403.604025394 309710.038214302, 1103524.628001794 309788.2886028762)"
33.0,6045377.77818658,19341.0,19474.0,604.537777818658,"LINESTRING (1103403.604025394 309710.038214302, 1103008.749867942 310030.2984306346)"
34.0,639559.7266374485,19474.0,19481.0,63.95597266374485,"LINESTRING (1103008.749867942 310030.2984306346, 1102945.62467768 310040.5734875053)"
35.0,4175169.6433916437,19481.0,15923.0,417.5169643391644,"LINESTRING (1102945.62467768 310040.5734875053, 1102920.862925982 310372.1411197593)"
36.0,5287156.665254184,19341.0,19214.0,528.7156665254184,"LINESTRING (1103403.604025394 309710.038214302, 1103057.858835571 309441.8937694271)"
37.0,533292.161892646,19729.0,16757.0,53.3292161892646,"LINESTRING (1102048.517724414 311267.0508199655, 1102062.894543449 311318.4055896933)"
38.0,3999824.50639317,16757.0,16702.0,399.982450639317,"LINESTRING (1102062.894543449 311318.4055896933, 1102437.35643436 311245.7452685285)"
39.0,6535305.470993079,16702.0,16714.0,653.530547099308,"LINESTRING (1102437.35643436 311245.7452685285, 1102649.699380048 310778.3249647316)"
40.0,5013886.59711276,16714.0,15918.0,501.3886597112759,"LINESTRING (1102649.699380048 310778.3249647316, 1102707.52965434 310285.1159878676)"
41.0,7752404.71037875,19729.0,19651.0,775.2404710378751,"LINESTRING (1102048.517724414 311267.0508199655, 1101970.124038647 310880.5424523508)"
42.0,6081015.286036628,19858.0,19048.0,608.1015286036628,"LINESTRING (1100612.824715289 311723.9996633477, 1100850.665869914 312033.0044459336)"
43.0,3773830.549339041,19048.0,19863.0,377.38305493390413,"LINESTRING (1100850.665869914 312033.0044459336, 1100857.738694271 311743.3910223496)"
44.0,8027589.343286514,19858.0,19695.0,802.7589343286517,"LINESTRING (1100612.824715289 311723.9996633477, 1100600.067164671 311126.7333912356)"
45.0,1021217.9663080102,19224.0,19257.0,102.12179663080101,"LINESTRING (1101521.836107725 309451.4240720702, 1101489.338025109 309522.7808786841)"
46.0,5285810.469121784,19481.0,19291.0,528.5810469121784,"LINESTRING (1102945.62467768 310040.5734875053, 1102758.52948503 309590.9710906286)"
47.0,4361156.837818162,19868.0,16828.0,436.11568378181613,"LINESTRING (1102529.002382451 311779.7271798325, 1102796.762374973 312025.9659884597)"
48.0,3863638.15855645,16828.0,16837.0,386.363815855645,"LINESTRING (1102796.762374973 312025.9659884597, 1102984.777422124 312320.191511764)"
49.0,1446547.15883795,20125.0,20172.0,144.654715883795,"LINESTRING (1101450.704300321 312668.8750703975, 1101384.071998439 312797.2694751563)"
50.0,2694728.017225336,20125.0,20075.0,269.4728017225336,"LINESTRING (1101450.704300321 312668.8750703975, 1101237.634832146 312526.9294862996)"
51.0,3681337.1360953576,20125.0,19037.0,368.1337136095358,"LINESTRING (1101450.704300321 312668.8750703975, 1101541.484312923 312445.6586530937)"
52.0,483918.57317193993,19037.0,19038.0,48.391857317193995,"LINESTRING (1101541.484312923 312445.6586530937, 1101499.458385169 312421.6671285274)"
53.0,6011808.001895639,19038.0,16680.0,601.180800189564,"LINESTRING (1101499.458385169 312421.6671285274, 1100983.519625849 312118.8562239463)"
54.0,10502351.465841241,16680.0,16746.0,1050.235146584124,"LINESTRING (1100983.519625849 312118.8562239463, 1101729.873885821 311465.20641984)"
55.0,969099.43822421,16746.0,16824.0,96.90994382242101,"LINESTRING (1101729.873885821 311465.20641984, 1101773.537862427 311547.8258736281)"
56.0,6930927.912871943,19874.0,16571.0,693.092791287194,"LINESTRING (1104430.119647918 311800.7322670922, 1104040.087932202 311452.0395554678)"
57.0,4415560.29440161,16571.0,16579.0,441.556029440161,"LINESTRING (1104040.087932202 311452.0395554678, 1103745.034369813 311156.8758780871)"
58.0,1347992.4513157962,15908.0,19540.0,134.7992451315796,"LINESTRING (1102283.64064906 310123.7938317172, 1102330.095976765 310194.2357724714)"
59.0,7656280.8017531885,18085.0,20189.0,765.6280801753188,"LINESTRING (1103184.796505825 312961.6469319587, 1102473.928624379 312836.6261095554)"
60.0,974120.4900769297,20189.0,20151.0,97.41204900769296,"LINESTRING (1102473.928624379 312836.6261095554, 1102519.762665642 312752.4177784346)"
61.0,4091060.662238491,20151.0,20192.0,409.10606622384904,"LINESTRING (1102519.762665642 312752.4177784346, 1102768.72808171 312845.7854475805)"
62.0,1332405.0966361875,20133.0,19032.0,133.24050966361875,"LINESTRING (1102112.55373315 312690.4646721883, 1102220.354216944 312767.671287221)"
63.0,3432473.3782725474,19032.0,20189.0,343.24733782725474,"LINESTRING (1102220.354216944 312767.671287221, 1102473.928624379 312836.6261095554)"
64.0,6129384.799086505,20007.0,20151.0,612.9384799086504,"LINESTRING (1102304.935621071 312362.9995451098, 1102519.762665642 312752.4177784346)"
65.0,3568837.8109567147,20007.0,19950.0,356.88378109567145,"LINESTRING (1102304.935621071 312362.9995451098, 1102273.034187622 312079.3796017782)"
66.0,1582102.2069646,16680.0,19048.0,158.21022069646,"LINESTRING (1100983.519625849 312118.8562239463, 1100850.665869914 312033.0044459336)"
67.0,4493621.656975921,19117.0,19123.0,449.3621656975921,"LINESTRING (1101708.182524334 308957.4292551312, 1102053.624009777 308999.7709533762)"
68.0,1665839.9049439193,19123.0,19150.0,166.58399049439194,"LINESTRING (1102053.624009777 308999.7709533762, 1102137.633672439 309143.4073305454)"
69.0,2841873.7271620845,19150.0,19167.0,284.1873727162085,"LINESTRING (1102137.633672439 309143.4073305454, 1101936.367090622 309305.2925294042)"
70.0,651834.3684812883,19167.0,19180.0,65.18343684812884,"LINESTRING (1101936.367090622 309305.2925294042, 1101983.052960742 309350.7821982359)"
71.0,340332.57983745635,19118.0,19123.0,34.03325798374564,"LINESTRING (1102060.440791414 308976.2630433041, 1102053.624009777 308999.7709533762)"
72.0,795817.9874287435,19376.0,19388.0,79.58179874287435,"LINESTRING (1101658.515695919 309776.0808697547, 1101599.584498978 309818.9490552011)"
73.0,4300465.88858125,19388.0,19393.0,430.0465888581249,"LINESTRING (1101599.584498978 309818.9490552011, 1101271.103715397 309815.173034563)"
74.0,185149.83923478433,19168.0,19167.0,18.514983923478432,"LINESTRING (1101919.00953125 309311.736112439, 1101936.367090622 309305.2925294042)"
75.0,4750904.944007246,19426.0,19547.0,475.09049440072454,"LINESTRING (1101596.816553098 309890.6635185901, 1101666.833961248 310214.2083464531)"
76.0,718190.7197789694,19426.0,19388.0,71.81907197789695,"LINESTRING (1101596.816553098 309890.6635185901, 1101599.584498978 309818.9490552011)"
77.0,2854536.773149972,19911.0,16828.0,285.45367731499715,"LINESTRING (1102976.693629206 311899.6580360887, 1102796.762374973 312025.9659884597)"
78.0,4759013.86160878,16746.0,16757.0,475.901386160878,"LINESTRING (1101729.873885821 311465.20641984, 1102062.894543449 311318.4055896933)"
79.0,1219116.5595611145,19149.0,19150.0,121.91165595611145,"LINESTRING (1102258.809302044 309138.424599789, 1102137.633672439 309143.4073305454)"
80.0,522085.5553630189,19022.0,20219.0,52.20855553630189,"LINESTRING (1103495.905130481 312849.8469419308, 1103517.681426608 312896.6825074826)"
81.0,10000744.429844633,20219.0,20340.0,1000.0744429844631,"LINESTRING (1103517.681426608 312896.6825074826, 1103995.699589294 313469.9894084687)"
82.0,3633353.74297713,19032.0,19034.0,363.33537429771303,"LINESTRING (1102220.354216944 312767.671287221, 1101893.477956787 312609.476814574)"
83.0,3883271.9121597596,19034.0,19037.0,388.327191215976,"LINESTRING (1101893.477956787 312609.476814574, 1101541.484312923 312445.6586530937)"
84.0,1671265.9007312665,19034.0,20059.0,167.12659007312666,"LINESTRING (1101893.477956787 312609.476814574, 1101802.934791184 312498.0866220209)"
85.0,3026873.4428193443,20993.0,21041.0,302.68734428193443,"LINESTRING (1107383.829853024 312618.4792977455, 1107480.438707484 312786.382907483)"
86.0,6353926.633081166,21041.0,17652.0,635.3926633081167,"LINESTRING (1107480.438707484 312786.382907483, 1107134.942886759 313103.0776543166)"
87.0,641926.13789166,17652.0,18967.0,64.192613789166,"LINESTRING (1107134.942886759 313103.0776543166, 1107073.194630999 313085.5321541615)"
88.0,4458138.508485305,18967.0,18974.0,445.8138508485305,"LINESTRING (1107073.194630999 313085.5321541615, 1106731.044240173 312896.2111336107)"
89.0,1439268.9169421718,18974.0,21056.0,143.92689169421718,"LINESTRING (1106731.044240173 312896.2111336107, 1106653.203152316 312824.8893073412)"
90.0,4252457.67319316,21056.0,20987.0,425.2457673193161,"LINESTRING (1106653.203152316 312824.8893073412, 1106564.92946078 312589.2956497181)"
91.0,3079061.0303948894,20987.0,20959.0,307.9061030394889,"LINESTRING (1106564.92946078 312589.2956497181, 1106591.661090918 312320.5522085915)"
92.0,7932675.638347614,20993.0,20953.0,793.2675638347612,"LINESTRING (1107383.829853024 312618.4792977455, 1107000.290350328 312231.5048000381)"
93.0,8226854.369998045,21387.0,21448.0,822.6854369998046,"LINESTRING (1105123.645578687 313811.7677094489, 1105614.445378195 313951.6687196051)"
94.0,7477994.162316442,21448.0,21463.0,747.7994162316443,"LINESTRING (1105614.445378195 313951.6687196051, 1106101.773377465 314021.3706572186)"
95.0,9985195.853291297,21463.0,21322.0,998.5195853291299,"LINESTRING (1106101.773377465 314021.3706572186, 1106780.745847598 313552.3005003802)"
96.0,5803895.480944852,21322.0,21189.0,580.3895480944856,"LINESTRING (1106780.745847598 313552.3005003802, 1106987.065361226 313148.9141254526)"
97.0,1500648.4111650148,21189.0,21142.0,150.0648411165015,"LINESTRING (1106987.065361226 313148.9141254526, 1107066.035795463 313109.6431633625)"
98.0,251513.35767891197,21142.0,18967.0,25.151335767891197,"LINESTRING (1107066.035795463 313109.6431633625, 1107073.194630999 313085.5321541615)"
99.0,2062255.0845330928,21387.0,21460.0,206.2255084533093,"LINESTRING (1105123.645578687 313811.7677094489, 1105210.041028619 313995.9303059699)"
100.0,6511530.742951165,21460.0,21488.0,651.1530742951167,"LINESTRING (1105210.041028619 313995.9303059699, 1105548.678219636 314240.3685059638)"
101.0,3741658.879525639,21189.0,21202.0,374.1658879525639,"LINESTRING (1106987.065361226 313148.9141254526, 1106785.557665649 313164.4086420506)"
102.0,5910128.8427469535,21320.0,21333.0,591.0128842746952,"LINESTRING (1104435.315398847 313529.9278792425, 1104703.642415348 313590.0620214337)"
103.0,4769248.47833087,21333.0,21375.0,476.92484783308703,"LINESTRING (1104703.642415348 313590.0620214337, 1105080.491917799 313795.1764916601)"
104.0,5524933.873602343,21375.0,21407.0,552.4933873602342,"LINESTRING (1105080.491917799 313795.1764916601, 1104580.570521806 313853.4182619161)"
105.0,6846213.10221562,18985.0,18974.0,684.621310221562,"LINESTRING (1106082.827802901 312677.8170702932, 1106731.044240173 312896.2111336107)"
106.0,4916586.578453761,18985.0,18995.0,491.658657845376,"LINESTRING (1106082.827802901 312677.8170702932, 1105601.797791962 312601.6492825181)"
107.0,5099948.629190961,18995.0,21035.0,509.99486291909614,"LINESTRING (1105601.797791962 312601.6492825181, 1105244.37557663 312765.727373442)"
108.0,1093106.6835739983,18985.0,21039.0,109.31066835739982,"LINESTRING (1106082.827802901 312677.8170702932, 1106049.453266012 312765.406880462)"
109.0,505561.33851088386,21387.0,21375.0,50.55613385108839,"LINESTRING (1105123.645578687 313811.7677094489, 1105080.491917799 313795.1764916601)"
110.0,3533233.6463972395,17646.0,17651.0,353.323364639724,"LINESTRING (1107101.75239698 313540.1883301313, 1107125.266402121 313188.694851372)"
111.0,861622.8169324,17651.0,17652.0,86.16228169324,"LINESTRING (1107125.266402121 313188.694851372, 1107134.942886759 313103.0776543166)"
112.0,2874530.3548359685,20984.0,20987.0,287.45303548359686,"LINESTRING (1106298.46595997 312571.101792415, 1106564.92946078 312589.2956497181)"
113.0,4080167.959726042,21306.0,17651.0,408.0167959726042,"LINESTRING (1107351.845815506 313466.5925204625, 1107125.266402121 313188.694851372)"
114.0,1806923.1809650809,17409.0,21958.0,180.69231809650807,"LINESTRING (1099676.749028426 316105.4557933298, 1099823.716261203 316089.1569106238)"
115.0,3360250.53709497,17409.0,17403.0,336.025053709497,"LINESTRING (1099676.749028426 316105.4557933298, 1099856.744131839 315839.5025757953)"
116.0,4156123.13724784,17403.0,17398.0,415.6123137247839,"LINESTRING (1099856.744131839 315839.5025757953, 1100200.206691598 315614.1717366517)"
117.0,5923129.422443067,17398.0,21741.0,592.3129422443067,"LINESTRING (1100200.206691598 315614.1717366517, 1100543.936824307 315279.2290962308)"
118.0,4324562.058557659,17409.0,15511.0,432.456205855766,"LINESTRING (1099676.749028426 316105.4557933298, 1099318.656191174 315927.0287843589)"
119.0,606784.5723153019,15511.0,21879.0,60.67845723153019,"LINESTRING (1099318.656191174 315927.0287843589, 1099343.036615 315871.463776431)"
120.0,2721413.5095987576,21879.0,21880.0,272.14135095987575,"LINESTRING (1099343.036615 315871.463776431, 1099526.489216814 315873.136285317)"
121.0,162951.1359207845,21635.0,21636.0,16.29511359207845,"LINESTRING (1099026.43194293 314334.4749337814, 1099042.720905889 314334.9226085308)"
122.0,6780034.4922326505,21635.0,17779.0,678.0034492232651,"LINESTRING (1099026.43194293 314334.4749337814, 1098907.8983838 313693.0968611758)"
123.0,924223.7958379199,17779.0,17778.0,92.422379583792,"LINESTRING (1098907.8983838 313693.0968611758, 1098889.164506191 313602.5930597216)"
124.0,2651549.2631698577,17778.0,21569.0,265.1549263169857,"LINESTRING (1098889.164506191 313602.5930597216, 1099080.406823866 313466.0216012929)"
125.0,5509826.784691181,21635.0,17785.0,550.9826784691181,"LINESTRING (1099026.43194293 314334.4749337814, 1098921.745689381 314805.5508987871)"
126.0,809898.9284689199,17785.0,17786.0,80.98989284689199,"LINESTRING (1098921.745689381 314805.5508987871, 1098908.245450084 314885.4076848623)"
127.0,5884791.039547221,17786.0,17791.0,588.479103954722,"LINESTRING (1098908.245450084 314885.4076848623, 1098917.102386666 315449.8005989395)"
128.0,225606.86537598755,17791.0,21772.0,22.560686537598755,"LINESTRING (1098917.102386666 315449.8005989395, 1098939.448606388 315446.6972070538)"
