ID,X,Y,Voltage,Power,Cluster
15876.0,1101104.9362201132,309425.2355168243,0.945,0.0,1
15884.0,1101418.0653134715,309543.5628180212,0.945,0.0,1
15904.0,1102095.7623216305,310062.9932714268,0.945,0.0,1
15908.0,1102283.6406490605,310123.79383171716,0.946,0.0,1
15923.0,1102920.8629259816,310372.1411197593,0.946,0.0,1
16579.0,1103745.034369813,311156.8758780871,0.945,0.0,1
16680.0,1100983.5196258486,312118.85622394626,0.949,0.0,1
16746.0,1101729.8738858206,311465.20641984,0.948,0.0,1
16757.0,1102062.8945434494,311318.4055896933,0.947,0.0,1
16775.0,1102888.4823246596,310978.9437750315,0.946,0.0,1
16828.0,1102796.762374973,312025.9659884597,0.946,0.0,1
16837.0,1102984.777422124,312320.19151176396,0.946,0.0,1
19022.0,1103495.9051304809,312849.84694193077,0.946,0.0,1
19032.0,1102220.354216944,312767.671287221,0.951,0.0,1
19034.0,1101893.477956787,312609.47681457404,0.951,0.0,1
19037.0,1101541.4843129232,312445.65865309373,0.95,0.0,1
15577.0,1103454.369946495,312523.8848862525,0.946,0.703,1
15918.0,1102707.52965434,310285.11598786764,0.946,0.0,1
15925.0,1102989.160106703,310381.67051860515,0.946,0.0,1
16571.0,1104040.0879322023,311452.03955546784,0.945,1.641,1
16645.0,1103233.4108523065,312387.5188838473,0.946,0.771,1
16702.0,1102437.35643436,311245.7452685285,0.947,0.215,1
16714.0,1102649.699380048,310778.32496473164,0.946,0.413,1
16776.0,1102860.9724364409,311000.64006079,0.946,0.273,1
16824.0,1101773.537862427,311547.8258736281,0.948,1.03,1
18085.0,1103184.7965058251,312961.64693195873,0.948,0.0,1
19038.0,1101499.458385169,312421.66712852736,0.95,1.446,1
19048.0,1100850.6658699145,312033.0044459336,0.949,0.0,1
19117.0,1101708.1825243342,308957.4292551312,0.945,0.886,1
19118.0,1102060.4407914141,308976.2630433041,0.945,0.473,1
19149.0,1102258.8093020443,309138.42459978897,0.945,0.374,1
19168.0,1101919.0095312498,309311.73611243896,0.945,0.135,1
19198.0,1102041.064440308,309400.0690958314,0.945,0.283,1
19202.0,1101128.4296027226,309407.6618812373,0.945,0.538,1
19214.0,1103057.8588355712,309441.89376942714,0.946,0.116,1
19224.0,1101521.836107725,309451.4240720702,0.945,0.645,1
19228.0,1100725.5098971492,309450.2363326825,0.945,0.388,1
19258.0,1101739.6639964257,309531.33320200216,0.945,0.739,1
19291.0,1102758.52948503,309590.9710906286,0.946,0.106,1
19322.0,1100442.3472002493,309648.09601003444,0.945,1.313,1
19332.0,1103974.107002329,309687.71257534955,0.946,0.339,1
19341.0,1103403.604025394,309710.03821430204,0.946,0.0,1
19365.0,1100019.2868743243,309755.0960916761,0.945,0.7,1
19393.0,1101271.1037153974,309815.17303456296,0.945,1.334,1
19426.0,1101596.816553098,309890.6635185901,0.945,0.694,1
19469.0,1102362.435536095,310024.0517344106,0.945,0.296,1
19474.0,1103008.749867942,310030.2984306346,0.946,0.171,1
19491.0,1102167.5117435842,310055.0739190186,0.945,1.027,1
19503.0,1103705.2553318208,310095.02343291417,0.946,0.255,1
19540.0,1102330.0959767646,310194.2357724714,0.946,0.326,1
19547.0,1101666.8339612477,310214.20834645315,0.945,0.106,1
19624.0,1103114.1361757752,310599.2409850461,0.946,0.327,1
19651.0,1101970.124038647,310880.54245235084,0.947,0.166,1
19673.0,1103838.0298325007,311081.0226097652,0.945,0.561,1
19695.0,1100600.0671646707,311126.7333912356,0.949,1.342,1
19706.0,1103189.2590482105,311182.5915036561,0.946,0.28,1
19729.0,1102048.5177244144,311267.05081996555,0.947,0.641,1
19858.0,1100612.8247152893,311723.99966334767,0.949,0.585,1
19863.0,1100857.7386942713,311743.39102234965,0.949,0.493,1
19868.0,1102529.0023824512,311779.7271798325,0.946,0.556,1
19874.0,1104430.1196479178,311800.73226709216,0.945,0.721,1
19911.0,1102976.693629206,311899.6580360887,0.946,0.495,1
19950.0,1102273.0341876221,312079.37960177823,0.952,0.867,1
20007.0,1102304.935621071,312362.9995451098,0.952,1.021,1
20059.0,1101802.9347911843,312498.08662202087,0.951,0.474,1
20066.0,1102911.969241278,312510.5868846297,0.946,0.235,1
20075.0,1101237.6348321463,312526.92948629963,0.95,0.352,1
20133.0,1102112.5537331502,312690.46467218833,0.951,0.839,1
20151.0,1102519.762665642,312752.4177784346,0.952,0.0,1
20172.0,1101384.0719984395,312797.26947515627,0.95,0.855,1
20192.0,1102768.72808171,312845.7854475805,0.952,0.973,1
20219.0,1103517.6814266078,312896.6825074826,0.946,0.568,1
20309.0,1103149.6438928212,313144.25465421163,0.948,0.906,1
20340.0,1103995.6995892941,313469.98940846865,0.946,0.46,1
19123.0,1102053.624009777,308999.7709533762,0.945,0.0,1
19150.0,1102137.6336724388,309143.40733054536,0.945,0.0,1
19167.0,1101936.367090622,309305.29252940416,0.945,0.0,1
19180.0,1101983.0529607423,309350.7821982359,0.945,0.0,1
19201.0,1100633.2926801995,309398.1453280671,0.945,0.0,1
19257.0,1101489.3380251087,309522.7808786841,0.945,0.0,1
19375.0,1103524.6280017938,309788.28860287624,0.946,0.0,1
19376.0,1101658.515695919,309776.08086975466,0.945,0.0,1
19388.0,1101599.5844989778,309818.9490552011,0.945,0.0,1
19481.0,1102945.6246776795,310040.5734875053,0.946,0.0,1
20125.0,1101450.7043003212,312668.8750703975,0.95,0.0,1
20189.0,1102473.9286243794,312836.62610955536,0.952,0.0,1
20935.0,1109806.835272547,312506.98817564594,0.927,1.03,10
17651.0,1107125.2664021207,313188.69485137204,0.928,0.0,11
17652.0,1107134.9428867586,313103.07765431656,0.928,0.0,11
18967.0,1107073.1946309987,313085.53215416154,0.928,0.0,11
18974.0,1106731.044240173,312896.2111336107,0.931,0.0,11
18985.0,1106082.827802901,312677.8170702932,0.934,0.0,11
17646.0,1107101.7523969796,313540.1883301313,0.928,0.169,11
18995.0,1105601.797791962,312601.6492825181,0.936,0.378,11
20953.0,1107000.290350328,312231.50480003806,0.927,0.34,11
20959.0,1106591.6610909177,312320.55220859154,0.931,0.45,11
20984.0,1106298.4659599704,312571.101792415,0.931,0.571,11
20993.0,1107383.829853024,312618.4792977455,0.928,0.526,11
21035.0,1105244.37557663,312765.72737344203,0.939,0.48,11
21039.0,1106049.453266012,312765.406880462,0.934,0.656,11
21041.0,1107480.4387074842,312786.38290748297,0.928,0.322,11
21056.0,1106653.2031523164,312824.88930734125,0.931,0.82,11
21142.0,1107066.0357954635,313109.6431633625,0.928,3.864,11
21202.0,1106785.5576656486,313164.40864205064,0.928,0.67,11
21306.0,1107351.8458155063,313466.5925204625,0.928,0.241,11
21320.0,1104435.3153988465,313529.9278792425,0.918,0.174,11
21322.0,1106780.7458475977,313552.30050038017,0.926,0.916,11
21333.0,1104703.6424153477,313590.0620214337,0.918,1.071,11
21407.0,1104580.570521806,313853.4182619161,0.916,0.321,11
21448.0,1105614.4453781948,313951.66871960514,0.92,3.204,11
21460.0,1105210.0410286186,313995.9303059699,0.918,1.66,11
21463.0,1106101.7733774649,314021.3706572186,0.923,1.944,11
21488.0,1105548.6782196357,314240.36850596376,0.918,1.177,11
20987.0,1106564.9294607798,312589.2956497181,0.931,0.0,11
21189.0,1106987.0653612255,313148.91412545263,0.928,0.0,11
21375.0,1105080.4919177992,313795.1764916601,0.918,0.0,11
21387.0,1105123.6455786868,313811.76770944893,0.918,0.0,11
15511.0,1099318.6561911737,315927.02878435893,0.974,0.0,12
15512.0,1098867.500581936,315620.0915468009,0.978,0.0,12
15787.0,1098827.482016962,313072.0344730221,1.0,0.0,12
15788.0,1098811.6734123451,313266.7349048369,1.0,0.0,12
17398.0,1100200.206691598,315614.17173665174,0.965,0.0,12
17403.0,1099856.7441318391,315839.50257579534,0.968,0.0,12
17409.0,1099676.7490284257,316105.4557933298,0.97,0.0,12
17473.0,1099296.3408141015,315960.75175745593,0.974,0.0,12
17482.0,1099004.849610209,316552.31884032226,0.974,0.0,12
17778.0,1098889.1645061912,313602.59305972164,0.997,0.0,12
17779.0,1098907.8983838004,313693.0968611758,0.996,0.0,12
17785.0,1098921.7456893814,314805.5508987871,0.986,0.0,12
17786.0,1098908.2454500836,314885.40768486226,0.985,0.0,12
17791.0,1098917.102386666,315449.80059893953,0.98,0.0,12
21533.0,1098843.234215638,312647.1283627526,1.0,1.314,12
21553.0,1099306.6749891823,313043.9416919266,1.0,0.249,12
21556.0,1098777.325524332,313103.76210086286,1.0,0.554,12
21569.0,1099080.4068238658,313466.0216012929,0.997,0.498,12
21588.0,1098662.05405028,313870.03876937233,0.996,0.479,12
21603.0,1098859.8775227228,314198.61690483644,0.985,0.729,12
21636.0,1099042.7209058893,314334.92260853085,0.99,0.842,12
21681.0,1098776.6429399666,314744.3447013304,0.985,0.834,12
21703.0,1099177.6986622794,314922.563921007,0.985,0.504,12
21706.0,1099698.4251823283,314935.9244982244,0.985,0.248,12
21738.0,1099287.666822376,315274.6219684557,0.985,0.345,12
21741.0,1100543.936824307,315279.22909623076,0.96,0.447,12
21765.0,1098651.2393563665,315392.063856562,0.978,0.469,12
21772.0,1098939.4486063877,315446.6972070538,0.98,1.351,12
21825.0,1100238.7615393405,315689.71036142897,0.965,1.618,12
21834.0,1099204.262115547,315709.09434419684,0.974,0.709,12
21855.0,1099822.4335981363,315782.7214856189,0.968,0.479,12
21880.0,1099526.489216814,315873.136285317,0.974,1.251,12
21897.0,1098897.6624856577,315920.1586471987,0.974,1.396,12
21934.0,1099401.1715166657,316027.1584863084,0.974,1.019,12
21958.0,1099823.7162612027,316089.1569106238,0.97,0.944,12
22020.0,1098722.180790198,316740.2717072547,0.974,0.811,12
22035.0,1098981.014617496,316991.4358547534,0.974,1.293,12
21635.0,1099026.4319429295,314334.47493378137,0.99,0.0,12
21701.0,1099313.3066487596,314918.5805879447,0.985,0.0,12
21879.0,1099343.036615,315871.463776431,0.974,0.0,12
16511.0,1104044.7746134023,312559.23059597844,0.946,0.798,13
19006.0,1104486.206323667,312720.3157824277,0.943,0.424,13
22072.0,1105010.5433125054,312586.5474828924,0.939,0.103,13
18958.0,1108221.4115966463,313361.33565564174,0.928,0.0,14
18960.0,1108086.4913556986,313329.3067666247,0.928,0.0,14
18951.0,1108729.5556794778,313501.45122093306,0.928,0.761,14
22103.0,1108953.1775840963,312622.376839346,0.928,0.244,14
22113.0,1108500.7325103066,312792.62567452266,0.928,0.763,14
22148.0,1108687.1837286141,313102.5656554461,0.928,0.769,14
22149.0,1107868.580053184,313100.2628719006,0.928,0.294,14
22174.0,1108238.7013235027,313273.305333387,0.928,1.084,14
22223.0,1107823.9584768326,313567.3943046017,0.928,0.441,14
22259.0,1107464.5457179185,314030.3414202645,0.928,1.014,14
22273.0,1107746.7778734106,314201.2784398386,0.928,0.473,14
22126.0,1108561.0202920851,312900.5474132023,0.928,0.0,14
22245.0,1107563.068931157,313891.41469480394,0.928,0.0,14
22280.0,1100345.688850195,312798.0648296634,0.95,0.153,15
22293.0,1100086.5230535185,313011.9099547025,0.95,0.721,15
22303.0,1100457.3856757018,313145.11077581,0.95,0.697,15
22316.0,1099821.2246767394,313323.1743464423,0.95,1.153,15
22283.0,1100368.5904972912,312954.7879363149,0.95,0.0,15
22295.0,1100148.4510040486,313056.5380737125,0.95,0.0,15
22367.0,1126209.850231445,313149.5393245475,0.998,1.955,16
22399.0,1110730.4028849758,313162.8476682669,0.927,1.377,17
22418.0,1111147.7637745738,313359.62984045024,0.927,0.474,17
22428.0,1110418.6669751287,313515.9351903625,0.927,0.711,17
22450.0,1100974.5821291134,313228.77266873466,0.95,1.379,18
22481.0,1100835.0433691752,313672.21288559376,0.95,1.976,18
22514.0,1109328.697471645,313624.4925792633,0.928,0.486,19
22533.0,1109553.8267703822,313871.12397113285,0.928,1.568,19
19067.0,1099082.8735583741,310720.9797961085,0.999,0.0,2
20347.0,1099245.56408601,309773.4680717562,0.999,0.426,2
20359.0,1099024.8907237805,309860.47229195945,0.999,1.25,2
20389.0,1098891.5819903205,310481.14901446673,0.999,1.183,2
20419.0,1099260.6539654466,310628.3789478405,0.999,2.031,2
20456.0,1099770.1533676004,311033.8889907999,0.999,1.04,2
20458.0,1099291.685765627,311044.0281445213,0.999,0.64,2
16087.0,1124642.8264477742,313801.208918286,1.0,0.0,20
16094.0,1125371.8210433621,314195.13557546085,0.999,0.0,20
16097.0,1125764.80992684,314445.7920512384,0.998,0.0,20
17826.0,1126127.8848293517,314687.98412728694,0.998,0.0,20
16092.0,1124758.0959665528,313998.1537240885,1.0,0.525,20
17823.0,1126078.7978850391,315169.7697888689,0.998,0.506,20
22570.0,1124841.4497261178,313745.5958859502,1.0,0.307,20
22575.0,1124614.2023728252,313825.8560261521,1.0,1.671,20
22604.0,1125532.1587442171,314106.56311234715,0.999,0.554,20
22641.0,1125584.0899692257,314467.7632358503,0.998,0.52,20
22665.0,1126762.292548713,314640.035456219,0.998,0.274,20
22676.0,1126123.2070031974,314694.7025402239,0.998,0.993,20
22724.0,1126414.670430675,314910.6961757509,0.998,0.466,20
22745.0,1127236.508655014,315050.45768743684,0.998,1.446,20
22813.0,1126107.7122771859,315426.9158546103,0.997,0.488,20
22824.0,1127823.4310234478,315491.8150212321,0.998,0.712,20
22831.0,1127393.0367886731,315524.1915876623,0.998,0.636,20
22860.0,1126254.5516393457,315664.4853802641,0.997,0.547,20
22876.0,1126391.7643769074,315869.3183965732,0.997,0.517,20
22894.0,1126818.4094377684,316078.78484497627,0.997,1.108,20
22701.0,1126465.9916929721,314782.1513528564,0.998,0.0,20
22830.0,1127424.3420143852,315518.52878343174,0.998,0.0,20
22931.0,1101967.7531276494,313808.89080830663,0.952,1.553,21
22969.0,1101763.5442334958,314118.8339836033,0.96,1.172,21
22996.0,1126485.0765630852,313931.6149651542,0.998,0.284,22
23021.0,1126141.9842393966,314059.2667378414,0.998,0.683,22
16907.0,1093906.2951998378,314404.7573346569,1.0,0.0,23
16908.0,1093897.8221358994,314440.4039901269,1.0,0.0,23
16909.0,1093884.6357629232,314483.6499030119,1.0,0.0,23
23062.0,1093911.5726350648,314309.6160886849,1.0,0.498,23
23074.0,1093998.4062518359,314331.12032546557,1.0,0.456,23
23106.0,1093768.3043364342,314436.6641603243,0.999,1.303,23
